Sexe,Prénom,Nom,Email,Téléphone,Ville,Domaine,Niveau d'expérience,Formation,Expériences,Langues,Compétences
m,michel,maillot,michel.maillot@live.com,0296520354,fontaine-la-forêt,météorologie,expert,dut - fischer s.a.r.l. (2014),gosselin s.a.r.l. | responsable météorologie | 2018 - 2022 | philippe blanchet et fils | chargé météorologie | 2020 - 2020 | delahaye | directeur météorologie | 2021 - 2023,"allemand, espagnol, chinois","modèles de prévision, cartes météorologiques, instruments de mesure météorologique"
m,xavier,dumas,xavier.dumas@live.com,+33 1 70 20 65 99,lecoq-la-forêt,météorologie,débutant,école d'ingénieur - bouvier hoareau sarl (2018),lesage et fils | responsable météorologie | 2019 - 2020 | joly sa | adjoint météorologie | 2015 - 2024,"arabe, espagnol","logiciels d'analyse climatique, cartes météorologiques, modèles de prévision, instruments de mesure météorologique"
m,émile,alexandre,émile.alexandre@laposte.net,0631573643,merleville,géologie,intermédiaire,dut - rivière s.a.s. (2023),dufour | responsable géologie | 2023 - 2024 | lopes | directeur géologie | 2021 - 2022,"portugais, arabe","stratigraphie et tectonique, sondage et forage, analyse géochimique, logiciels de cartographie"
f,olivie,maurice,olivie.maurice@laposte.net,02 21 69 91 94,briand,météorologie,expert,école d'ingénieur - maurice rémy et fils (2023),valentin s.a. | directeur météorologie | 2023 - 2024 | boutin | directeur météorologie | 2017 - 2021 | rodrigues | chargé météorologie | 2023 - 2024,"allemand, arabe, chinois","logiciels d'analyse climatique, modèles de prévision, instruments de mesure météorologique, cartes météorologiques"
f,martine,maillot,martine.maillot@orange.fr,+33 5 96 81 73 36,saint josephdan,design,junior,dut - petit fontaine et fils (2019),merle hamel et fils | responsable design | 2019 - 2019 | ramos | adjoint design | 2022 - 2022,"allemand, français, espagnol","illustrator, photoshop, ui/ux"
m,martin,delannoy,martin.delannoy@voila.fr,+33 (0)5 17 32 68 84,morel-sur-moreau,ingénierie,débutant,formation professionnelle - poirier renault sa (2015),perrin sa | responsable ingénierie | 2017 - 2024,arabe,"robotique, innovation, cao, gestion de projet"
f,olivie,jacquot,olivie.jacquot@club-internet.fr,05 47 93 96 02,saint auréliebourg,assistance virtuelle,senior,doctorat - gay (2014),berger | chargé assistance virtuelle | 2023 - 2024,"italien, arabe","gestion d'agenda et de calendriers, gestion de projets, traitement d'e-mails, service client"
m,thibaut,fischer,thibaut.fischer@gmail.com,+33 2 77 33 30 36,boyerdan,economie,junior,licence - didier (2015),pinto navarro s.a.s. | chargé economie | 2018 - 2024 | boutin girard et fils | directeur economie | 2018 - 2018 | guibert | responsable economie | 2018 - 2023,"anglais, portugais, allemand","rédaction de rapports économiques, statistiques, politiques monétaires et fiscales, analyse de données économiques"
f,margot,leduc,margot.leduc@live.com,0375079770,bourdonbourg,géologie,junior,master - julien s.a.s. (2023),georges renaud s.a.s. | adjoint géologie | 2018 - 2019 | traore | directeur géologie | 2017 - 2023,"italien, portugais","logiciels de cartographie, sondage et forage, analyse géochimique"
m,olivier,dupont,olivier.dupont@bouygtel.fr,05 34 88 17 68,delattre,finance & comptabilité,débutant,master - morvan goncalves s.a.s. (2013),lemoine | directeur finance & comptabilité | 2016 - 2017,"chinois, arabe, portugais","gestion de projet, excel, audit, analyse financière"
f,anouk,fernandes,anouk.fernandes@bouygtel.fr,0493645250,pruvost,ressources humaines,expert,école d'ingénieur - bernard (2013),adam | chargé ressources humaines | 2017 - 2021,"anglais, allemand","formation, gestion d'équipe, recrutement"
m,alfred,letellier,alfred.letellier@wanadoo.fr,+33 (0)6 21 13 96 22,renardville,météorologie,débutant,licence - joly lebon s.a.s. (2023),deschamps | chargé météorologie | 2022 - 2024 | renard | adjoint météorologie | 2016 - 2019,"espagnol, arabe","cartes météorologiques, modèles de prévision, logiciels d'analyse climatique"
f,margaux,de sousa,margaux.de sousa@orange.fr,+33 2 57 79 59 68,godard,assistance virtuelle,intermédiaire,doctorat - gilles (2018),martins joubert s.a. | adjoint assistance virtuelle | 2017 - 2020,"portugais, italien, allemand","gestion d'agenda et de calendriers, service client, gestion de projets"
f,victoire,martin,victoire.martin@orange.fr,0698441631,charrierville,communication,débutant,bts - georges (2018),hernandez | responsable communication | 2020 - 2024,"anglais, arabe, allemand","gestion de crise et communication d'urgence, maîtrise des réseaux sociaux, edition de contenu"
f,christiane,lesage,christiane.lesage@tele2.fr,0489146238,sainte rené,informatique,junior,dut - pruvost (2020),pinto s.a.s. | adjoint informatique | 2016 - 2017,anglais,"machine learning, reactjs, python"
m,raymond,morel,raymond.morel@wanadoo.fr,+33 (0)1 70 18 20 34,sainte yves,ingénierie,expert,dut - perez (2018),hoareau s.a.s. | chargé ingénierie | 2021 - 2023 | coulon | directeur ingénierie | 2018 - 2020,"espagnol, allemand, arabe","cao, descentes, robotique, gestion de projet"
f,christine,antoine,christine.antoine@ifrance.com,+33 (0)3 25 50 65 12,lacombe,ingénierie,expert,école de commerce - guilbert sarl (2023),guichard | responsable ingénierie | 2024 - 2024 | dumont | chargé ingénierie | 2019 - 2024,"chinois, portugais","innovation, mathématiques, descentes"
m,thibault,michel,thibault.michel@club-internet.fr,+33 (0)5 82 97 47 16,sainte théophile,commercial,senior,master - monnier s.a.r.l. (2022),sanchez gauthier s.a.r.l. | adjoint commercial | 2016 - 2020 | torres gosselin sa | responsable commercial | 2023 - 2024,espagnol,"stratégie commerciale, négociation, prospection"
f,laetitia,lévêque,laetitia.lévêque@live.com,+33 (0)6 43 47 16 65,de sousa-sur-langlois,journalisme,débutant,formation professionnelle - dupuy sa (2018),fabre s.a. | responsable journalisme | 2017 - 2023 | daniel | responsable journalisme | 2023 - 2024 | roy | adjoint journalisme | 2021 - 2021,"portugais, anglais","storytelling et narration visuelle, rédaction d'articles, techniques d'interview, reportages"
f,simone,sanchez,simone.sanchez@tiscali.fr,04 27 40 55 94,delattredan,logistique,expert,école d'ingénieur - humbert descamps sarl (2015),regnier delaunay s.a.r.l. | chargé logistique | 2015 - 2017 | cohen lefèvre et fils | chargé logistique | 2021 - 2021 | fouquet | responsable logistique | 2018 - 2021,allemand,"règlementations en transport et logistique, chaîne d'approvisionnement, gestion de stocks, gestion des fournisseurs"
m,louis,dubois,louis.dubois@dbmail.com,+33 2 55 51 83 88,lemaîtreboeuf,communication,junior,dut - morvan (2023),roger baudry sarl | responsable communication | 2022 - 2022,allemand,"edition de contenu, maîtrise des réseaux sociaux, gestion de crise et communication d'urgence, outils de communication"
m,benjamin,poulain,benjamin.poulain@free.fr,+33 (0)6 36 95 59 14,bodinboeuf,logistique,senior,école de commerce - gallet s.a.s. (2020),perrier | directeur logistique | 2019 - 2021 | garcia | chargé logistique | 2018 - 2023,"français, chinois, allemand","gestion des fournisseurs, règlementations en transport et logistique, gestion de stocks, chaîne d'approvisionnement"
f,margaud,goncalves,margaud.goncalves@hotmail.fr,04 23 72 36 73,saint lucy,logistique,junior,doctorat - leclercq (2017),navarro | adjoint logistique | 2015 - 2020 | labbé sarl | directeur logistique | 2018 - 2022,allemand,"gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,jeannine,legros,jeannine.legros@laposte.net,03 86 32 82 13,gomez,géologie,intermédiaire,licence - boulay s.a.s. (2023),georges sarl | adjoint géologie | 2017 - 2023,arabe,"analyse géochimique, stratigraphie et tectonique, sondage et forage, logiciels de cartographie"
f,élodie,martinez,élodie.martinez@gmail.com,+33 4 13 63 65 91,baron,finance & comptabilité,intermédiaire,école d'ingénieur - guillaume s.a. (2013),prévost | responsable finance & comptabilité | 2016 - 2017 | lecomte barbier et fils | responsable finance & comptabilité | 2018 - 2019 | bertin ruiz et fils | responsable finance & comptabilité | 2024 - 2024,"anglais, arabe, portugais","excel, gestion de projet, comptabilité, analyse financière, audit"
f,clémence,grenier,clémence.grenier@voila.fr,+33 (0)4 32 46 03 99,legros,assistance virtuelle,intermédiaire,licence - lejeune louis sa (2014),barre | chargé assistance virtuelle | 2023 - 2024 | boucher s.a. | responsable assistance virtuelle | 2021 - 2022,"espagnol, portugais, allemand","gestion de projets, gestion d'agenda et de calendriers, traitement d'e-mails, service client"
f,suzanne,regnier,suzanne.regnier@wanadoo.fr,03 53 29 79 22,de sousa,journalisme,débutant,dut - samson (2010),carlier | adjoint journalisme | 2022 - 2022 | godard | directeur journalisme | 2015 - 2023,"italien, portugais, espagnol","techniques d'interview, storytelling et narration visuelle, rédaction d'articles, reportages"
f,zoé,godard,zoé.godard@dbmail.com,0369444195,sainte alain,journalisme,intermédiaire,licence - hernandez (2019),peltier | responsable journalisme | 2019 - 2022,"italien, arabe","storytelling et narration visuelle, rédaction d'articles, reportages, techniques d'interview"
f,arnaude,antoine,arnaude.antoine@orange.fr,04 76 48 12 82,pereira,météorologie,débutant,doctorat - boucher bègue s.a. (2011),collin | responsable météorologie | 2020 - 2023 | chauvet s.a. | directeur météorologie | 2016 - 2021 | perez | adjoint météorologie | 2016 - 2022,"français, allemand","cartes météorologiques, instruments de mesure météorologique, logiciels d'analyse climatique, modèles de prévision"
f,catherine,schmitt,catherine.schmitt@free.fr,02 69 40 59 71,moulin-la-forêt,informatique,intermédiaire,école d'ingénieur - daniel (2014),deschamps sarl | chargé informatique | 2020 - 2022 | petit | adjoint informatique | 2019 - 2024 | leroy et fils | directeur informatique | 2023 - 2023,"espagnol, chinois, portugais","tensorflow, machine learning, cloud, flutter"
f,andrée,breton,andrée.breton@wanadoo.fr,+33 (0)3 83 08 56 74,arnaud,finance & comptabilité,senior,doctorat - denis pasquier s.a.s. (2022),pasquier morel s.a.r.l. | chargé finance & comptabilité | 2018 - 2018 | roche s.a.r.l. | directeur finance & comptabilité | 2018 - 2019 | lecomte et fils | adjoint finance & comptabilité | 2015 - 2018,"italien, arabe","gestion de projet, analyse financière, audit, excel"
m,jean,joubert,jean.joubert@noos.fr,02 96 21 50 63,sainte léon,ressources humaines,expert,école d'ingénieur - hamon noël s.a. (2013),rivière | chargé ressources humaines | 2015 - 2021 | collin s.a.s. | chargé ressources humaines | 2019 - 2023 | laine | responsable ressources humaines | 2015 - 2021,"arabe, allemand","formation, droit du travail, gestion d'équipe, recrutement"
f,susanne,evrard,susanne.evrard@live.com,0612132067,lamy,marketing,débutant,école de commerce - jacques (2010),lefèvre hamon et fils | adjoint marketing | 2023 - 2023 | raymond s.a. | chargé marketing | 2018 - 2022 | benard | directeur marketing | 2021 - 2024,"espagnol, anglais, portugais","communication, seo, stratégie digitale, community management, analytics"
f,caroline,millet,caroline.millet@gmail.com,0493491650,didier,communication,senior,formation professionnelle - ruiz (2018),de sousa | adjoint communication | 2020 - 2022 | hebert sarl | responsable communication | 2019 - 2022 | martins | responsable communication | 2020 - 2022,français,"edition de contenu, outils de communication, gestion de crise et communication d'urgence"
m,victor,gomez,victor.gomez@sfr.fr,03 87 99 39 03,gomez,santé,intermédiaire,école d'ingénieur - guibert coste s.a.s. (2010),clerc | responsable santé | 2019 - 2020 | fernandes s.a. | directeur santé | 2024 - 2024 | hardy s.a.s. | chargé santé | 2017 - 2022,"chinois, français, espagnol","recherche, analyse médicale, diagnostic, gestion de patient"
f,philippine,bourgeois,philippine.bourgeois@noos.fr,0370891675,sainte laurent,informatique,junior,bts - grondin (2020),monnier | chargé informatique | 2017 - 2021 | fernandes s.a.r.l. | responsable informatique | 2019 - 2021,"italien, portugais, espagnol","cloud, cybersécurité, linux"
f,margot,maillet,margot.maillet@free.fr,01 78 40 43 39,henry,géologie,expert,licence - pascal s.a.r.l. (2011),lefèvre | adjoint géologie | 2015 - 2017,"anglais, portugais, français","sondage et forage, stratigraphie et tectonique, analyse géochimique, logiciels de cartographie"
m,théophile,breton,théophile.breton@dbmail.com,02 19 57 83 58,sainte céline,commercial,débutant,master - maillot gimenez et fils (2010),jacquet | directeur commercial | 2019 - 2020 | rocher | directeur commercial | 2023 - 2023,"portugais, allemand, italien","négociation, prospection, relation client, stratégie commerciale"
f,monique,navarro,monique.navarro@yahoo.fr,+33 2 57 22 97 49,auger,météorologie,junior,doctorat - denis boyer et fils (2021),munoz | chargé météorologie | 2016 - 2022 | cousin | chargé météorologie | 2018 - 2023 | maillet | directeur météorologie | 2021 - 2023,"français, anglais, espagnol","cartes météorologiques, logiciels d'analyse climatique, instruments de mesure météorologique, modèles de prévision"
f,juliette,voisin,juliette.voisin@orange.fr,+33 (0)4 58 08 76 06,sanchez-sur-mer,economie,débutant,bts - blin (2018),roussel s.a. | chargé economie | 2022 - 2022 | coulon | responsable economie | 2015 - 2018,"espagnol, arabe, portugais","analyse de données économiques, statistiques, politiques monétaires et fiscales, rédaction de rapports économiques"
m,denis,chartier,denis.chartier@tiscali.fr,+33 3 73 92 58 08,gosselin-la-forêt,ingénierie,senior,dut - robert et fils (2019),hoarau | responsable ingénierie | 2019 - 2024,"chinois, portugais, allemand","analyse technique, cao, descentes, innovation"
f,diane,cordier,diane.cordier@wanadoo.fr,0480350528,martin,ingénierie,expert,master - bouchet s.a. (2013),olivier | adjoint ingénierie | 2016 - 2021,arabe,"cao, robotique, mathématiques, descentes, innovation, analyse technique"
m,david,fournier,david.fournier@bouygtel.fr,+33 (0)5 59 61 24 63,leroux-la-forêt,santé,junior,master - fleury bertrand s.a.r.l. (2019),delaunay s.a.s. | chargé santé | 2015 - 2018,"anglais, arabe, portugais","gestion de patient, analyse médicale, recherche, diagnostic"
f,véronique,brun,véronique.brun@club-internet.fr,0563190789,bonnet,météorologie,expert,master - charles (2017),louis mahe s.a.s. | responsable météorologie | 2024 - 2024 | chauvin | directeur météorologie | 2018 - 2019,"anglais, portugais, espagnol","instruments de mesure météorologique, logiciels d'analyse climatique, cartes météorologiques, modèles de prévision"
m,frédéric,pruvost,frédéric.pruvost@yahoo.fr,02 61 42 61 95,dumont-les-bains,météorologie,intermédiaire,formation professionnelle - guérin (2012),leclercq et fils | chargé météorologie | 2015 - 2017,"allemand, espagnol, arabe","modèles de prévision, instruments de mesure météorologique, logiciels d'analyse climatique, cartes météorologiques"
f,bernadette,bertrand,bernadette.bertrand@gmail.com,0230564657,traore,informatique,senior,bts - deschamps (2024),salmon | directeur informatique | 2022 - 2022,"anglais, français","java, sql, angularjs, cybersécurité, linux"
m,léon,vidal,léon.vidal@orange.fr,+33 (0)4 27 57 76 78,perretbourg,economie,débutant,licence - françois rodrigues et fils (2019),devaux | responsable economie | 2017 - 2018 | moreno | chargé economie | 2024 - 2024,"italien, chinois, portugais","politiques monétaires et fiscales, analyse de données économiques, rédaction de rapports économiques, statistiques"
f,mathilde,ramos,mathilde.ramos@orange.fr,+33 4 65 25 63 93,perrin,journalisme,expert,dut - goncalves (2012),pages s.a.r.l. | responsable journalisme | 2016 - 2023,"chinois, français, italien","rédaction d'articles, storytelling et narration visuelle, reportages"
m,gilbert,guibert,gilbert.guibert@dbmail.com,+33 (0)2 46 29 81 23,goncalves-sur-gilbert,ressources humaines,débutant,dut - rivière hoarau s.a.s. (2011),legrand | directeur ressources humaines | 2022 - 2022 | dumont sa | adjoint ressources humaines | 2015 - 2015,arabe,"gestion d'équipe, recrutement, formation"
f,nicole,adam,nicole.adam@dbmail.com,+33 5 54 66 69 98,sanchez,informatique,expert,dut - lemaire bertrand sa (2014),letellier | responsable informatique | 2015 - 2020 | evrard | responsable informatique | 2022 - 2023,"espagnol, portugais, italien","sql, angularjs, linux"
f,diane,maréchal,diane.maréchal@orange.fr,0276994621,auger-la-forêt,ressources humaines,intermédiaire,bts - hardy (2024),garcia sarl | directeur ressources humaines | 2015 - 2019 | chauveau | responsable ressources humaines | 2023 - 2023 | vasseur s.a.r.l. | adjoint ressources humaines | 2020 - 2024,"italien, espagnol","formation, recrutement, gestion d'équipe, droit du travail"
m,raymond,perez,raymond.perez@bouygtel.fr,+33 (0)5 61 62 36 91,saint anastasie,informatique,intermédiaire,master - benoit (2014),hamon s.a.s. | chargé informatique | 2020 - 2023 | gillet | responsable informatique | 2021 - 2022,chinois,"linux, tensorflow, angularjs, cloud, reactjs"
f,pauline,rolland,pauline.rolland@tele2.fr,+33 (0)2 56 98 10 85,aubert,informatique,débutant,école d'ingénieur - coulon (2019),texier | adjoint informatique | 2017 - 2018 | lenoir | directeur informatique | 2015 - 2021 | blanchet s.a.s. | chargé informatique | 2016 - 2023,portugais,"reactjs, mongodb, flutter, machine learning, java, cybersécurité"
m,léon,laporte,léon.laporte@free.fr,02 23 56 98 07,bodinville,logistique,expert,école d'ingénieur - didier (2023),baron mercier s.a.r.l. | responsable logistique | 2018 - 2024 | joly sarl | adjoint logistique | 2022 - 2022 | lamy | directeur logistique | 2021 - 2022,"espagnol, italien","gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique, gestion des fournisseurs"
f,anastasie,guichard,anastasie.guichard@tiscali.fr,+33 (0)3 89 68 92 46,blinnec,communication,intermédiaire,master - launay (2024),blin | adjoint communication | 2020 - 2022 | ledoux | adjoint communication | 2016 - 2018,"espagnol, chinois, anglais","maîtrise des réseaux sociaux, gestion de crise et communication d'urgence, outils de communication"
m,éric,giraud,éric.giraud@club-internet.fr,+33 5 57 92 95 38,barbier,design,débutant,doctorat - blanchard boulanger s.a.r.l. (2020),rodrigues bertrand s.a.s. | directeur design | 2023 - 2024 | weber | directeur design | 2016 - 2016,"italien, portugais, espagnol","photoshop, ui/ux, illustrator, design thinking"
f,jeannine,monnier,jeannine.monnier@bouygtel.fr,0149364997,robin,marketing,junior,dut - gaudin (2020),fournier | responsable marketing | 2021 - 2021 | dumas | adjoint marketing | 2021 - 2024 | tanguy | responsable marketing | 2019 - 2019,"français, anglais","analytics, seo, stratégie digitale, communication"
f,capucine,dias,capucine.dias@noos.fr,01 80 66 18 50,sainte élise,ingénierie,junior,licence - courtois (2022),perrier ramos s.a.r.l. | adjoint ingénierie | 2015 - 2022,allemand,"gestion de projet, cao, innovation, analyse technique"
m,paul,brun,paul.brun@bouygtel.fr,0322115951,maury-sur-brun,commercial,senior,école d'ingénieur - germain s.a. (2024),leleu | directeur commercial | 2020 - 2022 | techer | chargé commercial | 2020 - 2022,arabe,"relation client, prospection, négociation, stratégie commerciale"
f,océane,rocher,océane.rocher@ifrance.com,+33 1 72 26 40 90,sainte camille,journalisme,expert,école d'ingénieur - bertin allard s.a.r.l. (2012),de oliveira bernier et fils | responsable journalisme | 2016 - 2019 | marchand et fils | responsable journalisme | 2022 - 2024,"allemand, chinois","rédaction d'articles, storytelling et narration visuelle, reportages, techniques d'interview"
m,eugène,lesage,eugène.lesage@wanadoo.fr,+33 6 55 72 83 23,carpentiernec,finance & comptabilité,junior,école de commerce - paris (2010),vasseur | adjoint finance & comptabilité | 2020 - 2022 | le roux | adjoint finance & comptabilité | 2017 - 2019,"arabe, allemand","analyse financière, gestion de projet, audit"
f,alexandria,legrand,alexandria.legrand@hotmail.fr,0298665442,sainte camille,informatique,junior,licence - cordier richard sa (2012),cohen s.a. | adjoint informatique | 2016 - 2021 | delattre guyot et fils | chargé informatique | 2024 - 2024,français,"python, angularjs, sql, mongodb, linux"
f,véronique,rousseau,véronique.rousseau@ifrance.com,0634499929,martineznec,journalisme,débutant,licence - delannoy (2018),perrot muller s.a. | adjoint journalisme | 2018 - 2019 | garnier | responsable journalisme | 2018 - 2018,"anglais, français, arabe","storytelling et narration visuelle, rédaction d'articles, techniques d'interview"
f,céline,lenoir,céline.lenoir@yahoo.fr,02 44 52 45 47,sainte claudinedan,éducation,débutant,formation professionnelle - bousquet (2018),morin | chargé éducation | 2019 - 2023,"arabe, chinois, italien","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,honoré,martineau,honoré.martineau@bouygtel.fr,06 33 90 00 62,laroche-sur-guillon,géologie,débutant,licence - leconte parent s.a.r.l. (2020),jacquot et fils | chargé géologie | 2017 - 2022,portugais,"sondage et forage, analyse géochimique, stratigraphie et tectonique"
m,rené,menard,rené.menard@laposte.net,+33 (0)2 35 96 50 39,legros,finance & comptabilité,junior,licence - julien s.a.r.l. (2017),renard charles sarl | responsable finance & comptabilité | 2021 - 2024 | vallet | directeur finance & comptabilité | 2022 - 2023,"français, chinois, allemand","excel, comptabilité, analyse financière, gestion de projet, audit"
f,philippine,ferreira,philippine.ferreira@ifrance.com,+33 5 49 71 42 03,chevallier-sur-martins,commercial,expert,dut - chauveau renault s.a. (2021),blanchard | responsable commercial | 2017 - 2019 | girard renaud sa | directeur commercial | 2018 - 2022 | maréchal guyon et fils | responsable commercial | 2024 - 2024,"français, portugais, arabe","négociation, relation client, prospection, stratégie commerciale"
m,julien,launay,julien.launay@free.fr,0324106816,da costa,communication,junior,dut - bousquet sarl (2024),nguyen meyer et fils | directeur communication | 2016 - 2016 | chauveau dumont s.a.s. | chargé communication | 2017 - 2021,italien,"outils de communication, edition de contenu, gestion de crise et communication d'urgence, maîtrise des réseaux sociaux"
f,madeleine,de sousa,madeleine.de sousa@yahoo.fr,05 33 05 56 46,loiseau-sur-mer,design,expert,master - ferreira lesage et fils (2013),philippe martinez sa | directeur design | 2018 - 2024,"chinois, arabe","illustrator, photoshop, ui/ux, design thinking"
f,luce,coste,luce.coste@laposte.net,0631158500,saint pierre,informatique,débutant,école de commerce - sanchez (2014),chevalier s.a. | responsable informatique | 2017 - 2021 | perrier | adjoint informatique | 2020 - 2024 | rousseau | directeur informatique | 2015 - 2018,anglais,"sql, cybersécurité, tensorflow, flutter, java, linux"
m,raymond,ledoux,raymond.ledoux@bouygtel.fr,0321729753,saint andré,logistique,junior,école de commerce - loiseau s.a.s. (2017),pascal | adjoint logistique | 2021 - 2022 | cohen | chargé logistique | 2017 - 2017 | millet chauvet sa | chargé logistique | 2020 - 2022,français,"gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,victor,rocher,victor.rocher@tiscali.fr,+33 (0)6 27 67 69 01,coulon,ressources humaines,senior,bts - marin (2016),bègue et fils | directeur ressources humaines | 2018 - 2018 | grégoire | directeur ressources humaines | 2023 - 2024,"chinois, français, anglais","droit du travail, formation, recrutement"
f,danielle,rodriguez,danielle.rodriguez@free.fr,+33 (0)4 69 88 83 43,leduc-les-bains,journalisme,intermédiaire,école de commerce - klein (2013),morel | responsable journalisme | 2020 - 2023 | charpentier sarl | chargé journalisme | 2016 - 2021 | lemaire dos santos s.a. | responsable journalisme | 2019 - 2020,"arabe, chinois, espagnol","reportages, rédaction d'articles, techniques d'interview"
f,antoinette,rocher,antoinette.rocher@sfr.fr,02 99 32 35 33,vaillant,design,senior,master - jacquot (2011),blondel et fils | chargé design | 2022 - 2024 | rodriguez | adjoint design | 2022 - 2023 | cousin | chargé design | 2019 - 2020,"anglais, allemand, arabe","photoshop, design thinking, illustrator"
f,geneviève,dupuis,geneviève.dupuis@tiscali.fr,+33 4 83 02 45 94,chevallier-la-forêt,informatique,expert,formation professionnelle - duval voisin s.a. (2023),collin gomes et fils | adjoint informatique | 2020 - 2020,"allemand, français, espagnol","angularjs, flutter, machine learning, java, cybersécurité, reactjs"
m,gilles,robert,gilles.robert@live.com,04 92 36 34 90,pires,géologie,junior,dut - leduc (2011),techer gilles et fils | chargé géologie | 2022 - 2024,"arabe, allemand","sondage et forage, stratigraphie et tectonique, logiciels de cartographie, analyse géochimique"
f,céline,torres,céline.torres@dbmail.com,+33 (0)5 86 92 75 56,ramosville,communication,expert,formation professionnelle - perrot s.a. (2010),ferrand | directeur communication | 2022 - 2023,portugais,"gestion de crise et communication d'urgence, edition de contenu, outils de communication, maîtrise des réseaux sociaux"
m,émile,leconte,émile.leconte@live.com,0181421705,saint martine-la-forêt,economie,junior,école de commerce - marchand sarl (2020),pereira sa | chargé economie | 2015 - 2017 | guillou | chargé economie | 2021 - 2023,"allemand, arabe","analyse de données économiques, politiques monétaires et fiscales, statistiques, rédaction de rapports économiques"
m,timothée,david,timothée.david@tiscali.fr,0372974515,cousin-la-forêt,ressources humaines,junior,école de commerce - chauvin (2017),devaux | chargé ressources humaines | 2017 - 2024 | torres | responsable ressources humaines | 2019 - 2019 | imbert couturier s.a. | responsable ressources humaines | 2024 - 2024,"allemand, anglais","formation, recrutement, droit du travail, gestion d'équipe"
f,éléonore,berthelot,éléonore.berthelot@bouygtel.fr,0475561518,saint alain,commercial,senior,école d'ingénieur - delannoy (2023),pires grégoire s.a.r.l. | responsable commercial | 2018 - 2024,allemand,"négociation, stratégie commerciale, relation client"
m,marcel,chrétien,marcel.chrétien@yahoo.fr,0420545548,lemairebourg,economie,senior,doctorat - ferreira (2018),richard et fils | adjoint economie | 2019 - 2023,"arabe, portugais, français","analyse de données économiques, politiques monétaires et fiscales, statistiques, rédaction de rapports économiques"
m,gérard,lefèvre,gérard.lefèvre@wanadoo.fr,+33 6 42 48 14 96,lacroix,design,débutant,formation professionnelle - gosselin alexandre s.a.s. (2014),bouchet s.a.r.l. | adjoint design | 2018 - 2022 | guibert | chargé design | 2019 - 2021,arabe,"ui/ux, design thinking, photoshop, illustrator"
